"Jour";"Mois";"Annee"
"9";"2";"1904"
"3";"8";"1905"
"9";"1";"1906"
"null";"null";"1906"
"20";"10";"1907"
"2";"12";"1907"
"28";"10";"1909"
"16";"11";"1913"
"16";"12";"1914"
"18";"11";"1915"
"18";"1";"1922"
"null";"2";"1923"
"1";"3";"1923"
"9";"1";"1924"
"27";"11";"1924"
"26";"2";"1925"
"26";"10";"1926"
"20";"11";"1926"
"2";"4";"1927"
"21";"3";"1928"
"null";"3";"1929"
"null";"null";"1929"
"1";"2";"1930"
"16";"3";"1930"
"3";"4";"1930"
"13";"4";"1930"
"30";"5";"1930"
"29";"9";"1930"
"3";"11";"1930"
"11";"11";"1931"
"7";"3";"1934"
"23";"2";"1935"
"14";"3";"1937"
"16";"11";"1940"
"16";"2";"1941"
"12";"1";"1943"
"9";"12";"1946"
"28";"12";"1947"
"27";"1";"1948"
"8";"8";"1948"
"31";"12";"1948"
"19";"10";"1949"
"6";"2";"1950"
"22";"2";"1951"
"15";"2";"1957"
"null";"11";"1960"
"4";"4";"1962"
"20";"11";"1965"
"23";"2";"1966"
"1";"12";"1966"
"13";"12";"1966"
"13";"2";"1972"
"14";"10";"1973"
"6";"2";"1974"
"11";"1";"1978"
"null";"12";"1978"
"17";"12";"1989"
"25";"1";"1990"
"3";"2";"1990"
"11";"2";"1990"
"28";"2";"1990"
"15";"10";"1990"
"25";"10";"1992"
"11";"11";"1992"
"12";"9";"1993"
"14";"11";"1993"
"28";"1";"1994"
"2";"4";"1994"
"7";"9";"1995"
"23";"12";"1995"
"7";"2";"1996"
"20";"2";"1996"
"19";"11";"1996"
"4";"1";"1998"
"13";"1";"1998"
"24";"10";"1998"
"26";"12";"1999"
"27";"12";"1999"
"22";"1";"2000"
"9";"2";"2000"
"4";"4";"2000"
"11";"10";"2000"
"30";"10";"2000"
"5";"1";"2001"
"10";"1";"2001"
"2";"9";"2001"
"28";"12";"2001"
"8";"2";"2004"
"17";"12";"2004"
"9";"4";"2005"
"30";"3";"2006"
"8";"12";"2006"
"18";"1";"2007"
"19";"3";"2007"
"9";"11";"2007"
"10";"3";"2008"
"12";"3";"2008"
"29";"11";"2008"
"23";"1";"2009"
"10";"2";"2009"
"28";"2";"2010"
"30";"3";"2010"
"16";"12";"2011"
"25";"4";"2012"
"16";"12";"2012"
"21";"1";"2013"
"28";"10";"2013"
"24";"12";"2013"
"5";"2";"2014"
"7";"2";"2014"
"11";"1";"2016"
